date,type,state,district,property_type,properties
2024-07-01,unsold_not_constructed,Johor,Johor Bahru,condominium,0
2024-07-01,unsold_not_constructed,Johor,Johor Bahru,detached,0
2024-07-01,unsold_not_constructed,Johor,Johor Bahru,flat,0
2024-07-01,unsold_not_constructed,Johor,Johor Bahru,flat-lowcost,0
2024-07-01,unsold_not_constructed,Johor,Johor Bahru,house-lowcost,0
2024-07-01,unsold_not_constructed,Johor,Johor Bahru,semidetached-1-storey,0
2024-07-01,unsold_not_constructed,Johor,Johor Bahru,semidetached-2-3-storey,0
2024-07-01,unsold_not_constructed,Johor,Johor Bahru,terrace-1-storey,0
2024-07-01,unsold_not_constructed,Johor,Johor Bahru,terrace-2-3-storey,0
2024-07-01,unsold_not_constructed,Johor,Johor Bahru,townhouse,0
2024-07-01,unsold_under_construction,Johor,Johor Bahru,all,2665
2024-07-01,unsold_under_construction,Johor,Johor Bahru,cluster,410
2024-07-01,unsold_under_construction,Johor,Johor Bahru,condominium,248
2024-07-01,unsold_under_construction,Johor,Johor Bahru,detached,14
2024-07-01,unsold_under_construction,Johor,Johor Bahru,flat,0
2024-07-01,unsold_under_construction,Johor,Johor Bahru,flat-lowcost,0
2024-07-01,unsold_under_construction,Johor,Johor Bahru,house-lowcost,0
2024-07-01,unsold_under_construction,Johor,Johor Bahru,semidetached-1-storey,0
2024-07-01,unsold_under_construction,Johor,Johor Bahru,semidetached-2-3-storey,65
2024-07-01,unsold_under_construction,Johor,Johor Bahru,terrace-1-storey,56
2024-07-01,unsold_under_construction,Johor,Johor Bahru,terrace-2-3-storey,1859
2024-07-01,unsold_under_construction,Johor,Johor Bahru,townhouse,13
2024-07-01,overhang,Johor,Kluang,all,256
2024-07-01,overhang,Johor,Kluang,cluster,6
2024-07-01,overhang,Johor,Kluang,condominium,0
2024-07-01,overhang,Johor,Kluang,detached,24
2024-07-01,overhang,Johor,Kluang,flat,0
2024-07-01,overhang,Johor,Kluang,flat-lowcost,0
2024-07-01,overhang,Johor,Kluang,house-lowcost,0
2024-07-01,overhang,Johor,Kluang,semidetached-1-storey,28
2024-07-01,overhang,Johor,Kluang,semidetached-2-3-storey,64
2024-07-01,overhang,Johor,Kluang,terrace-1-storey,95
2024-07-01,overhang,Johor,Kluang,terrace-2-3-storey,39
2024-07-01,overhang,Johor,Kluang,townhouse,0
2024-07-01,unsold_not_constructed,Johor,Kluang,all,612
2024-07-01,unsold_not_constructed,Johor,Kluang,cluster,0
2024-07-01,unsold_not_constructed,Johor,Kluang,condominium,0
2024-07-01,unsold_not_constructed,Johor,Kluang,detached,58
2024-07-01,unsold_not_constructed,Johor,Kluang,flat,0
2024-07-01,unsold_not_constructed,Johor,Kluang,flat-lowcost,0
2024-07-01,unsold_not_constructed,Johor,Kluang,house-lowcost,0
2024-07-01,unsold_not_constructed,Johor,Kluang,semidetached-1-storey,8
2024-07-01,unsold_not_constructed,Johor,Kluang,semidetached-2-3-storey,0
2024-07-01,unsold_not_constructed,Johor,Kluang,terrace-1-storey,546
