date,title
2024-01-10 12:00:00,"Labour Force Statistics, November 2023"
2024-01-11 12:00:00,"Index of Industrial Production, November 2023"
2024-01-11 12:00:00,"Monthly Manufacturing Statistics, Malaysia, November 2023"
2024-01-19 12:00:00,"Monthly External Trade Statistics, December 2023"
2024-01-22 12:00:00,"Consumer Price Index, December 2023"
